// Venezia AI v1.1
//------------------------ easy

plan easy

// Weights resource production.
Limit ARMWAR 0
Limit ARMZEUS 0

Limit ARMAAS 8
Limit ARMBATS 8
Limit ARMCARRY 4
Limit ARMCRUS 10
Limit ARMMSHIP 10
Limit ARMPT 20
Limit ARMROY 8
Limit ARMSCRAM 0
Limit ARMSJAM 0
Limit ARMSS 0
Limit ARMSUB 16
Limit ARMSUBK 5
Limit ARMTSHIP 0

Limit ARMSEAP 16
Limit ARMSEHAK 0
Limit ARMSFIG 12

Limit ARMBULL 0
Limit ARMCROC 0
Limit ARMFAV 0
Limit ARMFLASH 0
Limit ARMJAM 0
Limit ARMLATNK 0
Limit ARMMANNI 0
Limit ARMMART 0
Limit ARMMERL 0
Limit ARMMLV 0
Limit ARMSAM 0
Limit ARMSCAB 0
Limit ARMSPID 0
Limit ARMSTUMP 0
Limit ARMYORK 0

Limit ARMAMB 0
Limit ARMAMD 0
Limit ARMANNI 0
Limit ARMARAD 0
Limit ARMASP 1
Limit ARMBEAC 0
Limit ARMBRTHA 3
Limit ARMCKFUS 0
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMESTOR 0
Limit ARMFLAK 24
Limit ARMFORT 0
Limit ARMFUS 3
Limit ARMGATE 0
Limit ARMGEO 0
Limit ARMGUARD 8
Limit ARMHLT 5
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMEX 0
Limit ARMMMKR 0
Limit ARMMOHO 0
Limit ARMMSTOR 0
Limit ARMRAD 0
Limit ARMSILO 0
Limit ARMRL 30
Limit ARMSOLAR 0
Limit ARMTARG 0
Limit ARMVULC 1
Limit ARMWIN 0

Limit ARMASON 0
Limit ARMATL 5
Limit ARMFDRAG 0
Limit ARMFHLT 0
Limit ARMFMKR 0
Limit ARMFRT 20
Limit ARMSONAR 0
Limit ARMTIDE 0
Limit ARMTL 0
Limit ARMUWES 0
Limit ARMUWFUS 1
Limit ARMUWMEX 0
Limit ARMUWMS 0

//CORE
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit CORAPE 50
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORFINK 0
Limit CORHURC 20
Limit CORSHAD 20
Limit CORTITAN 0
Limit CORVALK 0
Limit CORVAMP 100
Limit CORVENG 16

Limit CAIAPE 50
Limit CAISHAD 20
Limit CAIHURC1 20
Limit CAIHURC2 20

Limit CORAH 16
Limit CORMH 8
Limit CORSH 0
Limit CORSNAP 6
Limit CORTHOVR 0

Limit CORAMPH 0
Limit CORAK 0
Limit CORCAN 0
Limit CORCRASH 0
Limit CORDECOM 0
Limit CORFAST 0
Limit CORKROG 0
Limit CORHRK  0
Limit CORMORT 0
Limit CORNECRO 0
Limit CORPYRO 0
Limit CORROACH 0
Limit CORSCORP 0
Limit CORSNIPE 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSTORM 0
Limit CORSUMO 0
Limit CORTHUD 0
Limit CORVOYR 0

Limit CORARCH 8
Limit CORBATS 8
Limit CORCARRY 0
Limit CORCRUS 18
Limit CORMSHIP 10
Limit CORPT 20
Limit CORROY 8
Limit CORSHARK 5
Limit CORSJAM 0
Limit CORSS 0
Limit CORSSUB 3
Limit CORSUB 6
Limit CORTSHIP 0

Limit CORHUNT 0
Limit CORSEAP 12
Limit CORSFIG 0

Limit CORETER 0
Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 0
Limit CORGOL 0
Limit CORLEVLR 0
Limit CORMART 0
Limit CORMIST 0
Limit CORMLV 0
Limit CORRAID 0
Limit CORREAP 0
Limit CORSEAL 0
Limit CORSENT 0
Limit CORTRUCK 0
Limit CORVRAD 0
Limit CORVROC 0

Limit CORARAD 0
Limit CORASP 0
Limit CORBEAC 0
Limit CORBUZZ 1
Limit CORCKFUS 0
Limit CORDOOM 2
Limit CORDRAG 0
Limit CORESTOR 0
Limit CORFDRAG 0
Limit CORFMD 0
Limit CORFLAK 20
Limit CORFORT 0
Limit CORFUS 2
Limit CORGEO 0
Limit CORHLT 0
Limit CORINT 3
Limit CORLLT 0
Limit CORMAKR 0
Limit CORMEX 0
Limit CORMMKR 0
Limit CORMOHO 0
Limit CORMSTOR 0
Limit CORPUN 12
Limit CORRAD 0
Limit CORRL 30
Limit CORSILO 0
Limit CORSOLAR 0
Limit CORTARG 0
Limit CORTOAST 0
Limit CORTRON 0
Limit CORVIPE 5
Limit CORWIN 0

Limit CORASON 0
Limit CORATL 0
Limit CORFHLT 0
Limit CORFMKR 0
Limit CORFRT 16
Limit CORSONAR 0
Limit CORTIDE 0
Limit CORTL 0
Limit CORUWES 0
Limit CORUWFUS 1
Limit CORUWMEX 0
Limit CORUWMS 0

// Limits factories and c-units for Hard diff.
Limit AAIAAP 8
Limit AAIALAB 2
Limit AAIASY 2
Limit AAIAVP 0
Limit AAIAP 3
Limit ARMHP 2
Limit AAILAB 1
Limit ARMPLAT 2
Limit AAISY 2
Limit AAIVP 0

Limit ARMAAP 0
Limit ARMALAB 0
Limit ARMASY 0
Limit ARMAVP 0
Limit ARMAP 0
Limit ARMLAB 0
Limit ARMSY 0
Limit ARMVP 0

Limit AAIACA 4
Limit AAIACK 2
Limit ARMACSUB 2
Limit AAIACV 0
Limit AAICA 4
Limit AAICK 2
Limit ARMCH 3
Limit AAICS 2
Limit ARMCSA 3
Limit AAICV 0

Limit ARMACA 0
Limit ARMACK 0
Limit ARMACV 0
Limit ARMCA 0
Limit ARMCK 0
Limit ARMCS 0
Limit ARMCV 0

Limit CAIAAP 8
Limit CAIALAB 0
Limit CAIASY 2
Limit CAIAVP 0
Limit CAIAP 3
Limit CAIGANT 0
Limit CORHP 2
Limit CAILAB 0
Limit CORPLAT 2
Limit CAISY 2
Limit CAIVP 0

Limit CORAAP 0
Limit CORALAB 0
Limit CORASY 0
Limit CORAVP 0
Limit CORAP 0
Limit CORGANT 0
Limit CORLAB 0
Limit CORSY 0
Limit CORVP 0

Limit CAIACA 6
Limit CAIACK 0
Limit CORACSUB 2
Limit CAIACV 0
Limit CAICA 4
Limit CAICK 0
Limit CORCH 4
Limit CAICS 2
Limit CORCSA 4
Limit CAICV 0

Limit CORACA 0
Limit CORACK 0
Limit CORACV 0
Limit CORCA 0
Limit CORCK 0
Limit CORCS 0
Limit CORCV 0

